year,country,song_name,lyrics,lyrics_en,language,song_name_song,style,language_song
2010,Moldova,Run Away,"Ohhh, forget--let me breathe, let me leave
Just run away from my mind
Ohhh, forgive--I don’t need, I won’t breathe
Just get away from my life

*Epic Sax Solo*

You lost one-and-all, so fly away
Over the clouds, under the sky
Never come back, no, run away
With all your might, give up, you

I don't believe anymore your shallow heart
I know that it's you who chose to play this trick
O'll never forgive you, not for anything!
And now you are left with nothing

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don't need
I won't breathe!
Just get away from my life

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don’t need
I won't breathe!
Just get away from my life

There's no other time to making
Happiness. You have mistaken
We have no progressive future!
I know your lying nature

There's no other time to making
Happiness. You have mistaken!
We have no progressive future!
I know your lying nature!

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don't need
I won't breathe!
Just get away from my life

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don't need
I won't breathe!
Just get away from my life","Ohhh, forget--let me breathe, let me leave
Just run away from my mind
Ohhh, forgive--I don’t need, I won’t breathe
Just get away from my life

*Epic Sax Solo*

You lost one-and-all, so fly away
Over the clouds, under the sky
Never come back, no, run away
With all your might, give up, you

I don't believe anymore your shallow heart
I know that it's you who chose to play this trick
O'll never forgive you, not for anything!
And now you are left with nothing

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don't need
I won't breathe!
Just get away from my life

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don’t need
I won't breathe!
Just get away from my life

There's no other time to making
Happiness. You have mistaken
We have no progressive future!
I know your lying nature

There's no other time to making
Happiness. You have mistaken!
We have no progressive future!
I know your lying nature!

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don't need
I won't breathe!
Just get away from my life

Oh, forget, let me breathe, let me live!
Just run away from my mind
Oh, forgive, I don't need
I won't breathe!
Just get away from my life",English,Run Away,Pop,English
2010,Russia,Lost and Forgotten,"Would you believe, Lord of Mercy?
Would you be so... Lord, Lord?
I wanna love her now
And I wanna feel that now with all...
All of those kisses and sweet embraces

Here am I, lost and forgotten
For this cruel, cruel time
When I'm first time in love
(Now that is why)
Now that is why I say Lord of Mercy
And I hope now that you hear me
Oh yeah...

(What are you doing man?)
I'm looking at her photos
What should I do with them?
(Drop them into the fire)
Oh, yes, yes, I gonna burn 'em now
'Cause I have to forget her now with all...
All of those kisses and sweet embraces

Here am I, lost and forgotten
For this cruel, cruel time
When I'm first time in love
(Now that is why)
Now that is why I say Lord of Mercy
And I hope now that you hear me
Oh...

(Here am I, lost and forgotten)
(For this cruel, cruel time)
(First time in love)
(Now that is why)
Now that is why I say Lord of Mercy
And I hope now that you hear me
Oh, bring her back to me","Would you believe, Lord of Mercy?
Would you be so... Lord, Lord?
I wanna love her now
And I wanna feel that now with all...
All of those kisses and sweet embraces

Here am I, lost and forgotten
For this cruel, cruel time
When I'm first time in love
(Now that is why)
Now that is why I say Lord of Mercy
And I hope now that you hear me
Oh yeah...

(What are you doing man?)
I'm looking at her photos
What should I do with them?
(Drop them into the fire)
Oh, yes, yes, I gonna burn 'em now
'Cause I have to forget her now with all...
All of those kisses and sweet embraces

Here am I, lost and forgotten
For this cruel, cruel time
When I'm first time in love
(Now that is why)
Now that is why I say Lord of Mercy
And I hope now that you hear me
Oh...

(Here am I, lost and forgotten)
(For this cruel, cruel time)
(First time in love)
(Now that is why)
Now that is why I say Lord of Mercy
And I hope now that you hear me
Oh, bring her back to me",English,Lost and Forgotten,Ballad,English
2010,Estonia,Siren,"Siren in my head, is making awful sound
It's time to make it clear
What is lost and what is found?

My life has been oh lame
Has been oh lame so far
I wasted years, I wasted time
Trying to reach the stars
My life has been oh lame
Has been oh lame so far

Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night
Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night

Siren in my head, yes, I can hear it again
Is it just the beginning, or is it the end?

My life has been oh lame
Has been oh lame so far
I wasted years, I wasted time
Trying to reach the stars
My life has been oh lame
Has been oh lame so far

Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night
Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night

Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night
Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night","Siren in my head, is making awful sound
It's time to make it clear
What is lost and what is found?

My life has been oh lame
Has been oh lame so far
I wasted years, I wasted time
Trying to reach the stars
My life has been oh lame
Has been oh lame so far

Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night
Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night

Siren in my head, yes, I can hear it again
Is it just the beginning, or is it the end?

My life has been oh lame
Has been oh lame so far
I wasted years, I wasted time
Trying to reach the stars
My life has been oh lame
Has been oh lame so far

Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night
Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night

Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night
Give me time and give me strength
Give me strength to carry on
Give me bit of hope now, help me through the night",English,Siren,Pop,English
2010,Slovakia,Horehronie,"Keď sa slnko skloní na Horehroní chce sa mi spievať, zomrieť aj žiť
Keď sa slnko skloní na Horehroní túžim sa k nebu priblížiť
Na tráve ležím a snívam o čom sama neviem
V tom vánku, čo ma kolíše keď je slnko najnižšie

Najkrajšie stromy sú na Horehroní to tiché bratstvo vraví mi poď
Sem sa vždy vrátim keď ma niečo zroní, vravia to stromy: z pliec to zhoď
Na tráve ležím a snívam o čom sama neviem
V tom vánku, čo ma kolíše keď je slnko najnižšie

Keď sa slnko skloní na Horehroní tam niekde v ďiaľke náš zvon zvoní
Keď má ma to bolieť tak nech ma bolí raz sa to stratí do čiernej hory
Na tráve ležím a snívam oči tíško plačú
V tom vánku, čo ma kolíše keď je slnko najnižšie

Na tráve ležím a snívam oči tíško plačú
V tom vánku, čo ma kolíše keď je slnko najnižšie

Na tráve ležím a snívam oči tíško plačú
V tom vánku, čo ma kolíše keď je slnko najnižšie

Najkrajšie stromy sú na Horehroní","When the sun goes down in Horehronie
I want to sing, die and live
When the sun goes down in Horehronie
I wish I could get closer to the sky I'm lying on the grass and dreaming
Of what, I don't even know
In the breeze that gently sways me
When the sun is at its lowest point The most beautiful trees are in Horehronie
A silent brotherhood is telling that
I come back here when I feel sad
The trees are saying: shake it off I'm lying on the grass and dreaming
Of what, I don't even know
In the breeze that gently sways me
When the sun is at its lowest point Ah... hallelujah... When the sun goes down in Horehronie
Out there somewhere far away our bell is ringing
When it hurts, let it hurt
One day it will vanish in the black mountain I'm lying on the grass and dreaming
My eyes are crying softly
In the breeze that gently sways me
When the sun is at its lowest point Ah... ah... ah... ah... I'm lying on the grass and dreaming
My eyes are crying softly
In the breeze that gently sways me
When the sun is at its lowest point The most beautiful trees are in Horehronie",Slovak,Horehronie,Traditional,Slovak
2010,Finland,Työlki ellää,"Mitä minä laulan kun olen iloinen
Mitä laitan leijailemaan päälle sävelten
Paljon päivänpaistetta ja poutapilviä
Torikauppiaille nauravia silmiä

Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu
Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu

Mitä minä laulan kun olen onneton
Mitä silloin sävelteni kannettava on
Sadetta ja myrskysäätä ylle kaupungin
Reikähousupelimannille pennin lantin

Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu
Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu

Mitä minä laulan kun rakastunut oon
Kantaako mun rakkauteni laulun kuutamoon
Samettia, silkkiä ja kultalankaa vaan
Siitä minun kullalleni paita ommellaan

Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu
Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu

Mitä minä laulan kun ittekseni meen
Mietin miksi aina uutta laulua mä teen
Kaksi kummaa lintua jo taivaanrannan taa
Lentää silloin kun on aika laulu lopettaa

Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu
Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu
Mä laulan
Paista päivä, kulje kunnon kuu
Työlki ellää, mut kaupal rikastuu","What do I sing when I'm happy
What do I put on top of floating notes
Lots of sunshine and white clouds
Laughing eyes for market traders
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
What do I sing when I am unhappy
What do my notes have to bear
Rain and stormy weather over the city
I`ll give a penny for the pelimanni with tattered trousers
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
What do I sing when I'm in love
Shall my love carry the song to the Moon
Just velvet, silk and golden thread
for my darling's shirt
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
What do I sing when I'm alone
I wonder why do I keep writing new songs
Two strange birds on the horizon
Flying when it's time to stop singing
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading
I sing
daylight, shine, full Moon, travel safely
Working is a way to make a living, but you get rich by trading",Finnish (title Karelian dialect),Tyolki ellaa,Traditional,Finnish
2010,Latvia,What For?,"I've asked my angels, why?
But they don't know
What for do mothers cry
And rivers flow?
Why are the skies so blue
And mountains high?
What for is your love always passing by?

I've asked my uncle Joe
But he can't speak
Why does the wind still blow?
And blood still leaks?
So many questions now
With no reply
What for do people live until they die?

What for are we living?
What for are we crying?
What for are we dying?
Only Mr. God knows why
What for are we living?
What for are we dreaming?
What for are we loosing?
Only Mr. God knows why

(But) His phone today is out of range

The sun in colour black
Is rising high
The time is turning back
I wonder why
So many questions now
With no reply
What for do people live until they die?","I've asked my angels, why?
But they don't know
What for do mothers cry
And rivers flow?
Why are the skies so blue
And mountains high?
What for is your love always passing by?

I've asked my uncle Joe
But he can't speak
Why does the wind still blow?
And blood still leaks?
So many questions now
With no reply
What for do people live until they die?

What for are we living?
What for are we crying?
What for are we dying?
Only Mr. God knows why
What for are we living?
What for are we dreaming?
What for are we loosing?
Only Mr. God knows why

(But) His phone today is out of range

The sun in colour black
Is rising high
The time is turning back
I wonder why
So many questions now
With no reply
What for do people live until they die?",English,What For?,Ballad,English
2010,Serbia,Ovo je Balkan (Oво je Балкан),"Ej, Ljubice, Ljubice
Praviš mi, Ljubice, zazubice
Ej, stisni me, kisni me
Ljubice, na grudi, pritisni me

Ljubiš me k'o balavica
Nije te sram
Beograd, Beograd
Ja bezobrazan
Ne jednom, ne dvaput, tri puta me
Beograd, Beograd, tri puta po naški je

Balkan, Balkan, Balkan, ovo je Balkan
Come on!

Ej, Ljubice, Ljubice
Grudi ti, Ljubice, haubice

Ljubiš me k'o balavica
Nije te sram
Beograd, Beograd
Ja bezobrazan
Ne jednom, ne dvaput, tri puta me
Beograd, Beograd, tri puta po naški je

Balkan, Balkan, Balkan, ovo je Balkan
Come on!

Samo malo, samo malo
Samo malo, samo malo mu ga daj!

Ljubiš me k'o balavica
Nije te sram
Beograd, Beograd
Ja bezobrazan
Ne jednom, ne dvaput, tri puta me
Beograd, Beograd, tri puta po naški je","Hey... sweetie, sweetie
You make my mouth water
Hey... squeeze me, kiss me
Sweetie, squeeze me on the chest Love me like a young person, you are not ashamed
Belgrade, Belgrade, I'm sassy
Not once, not twice, three times (kiss) me...
Belgrade, Belgrade three times, is how we do it Balkans, Balkans, Balkans, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on! Hey... sweetie, sweetie
Your chest, sweetie, howitzer Love me like a young person, you are not ashamed
Belgrade, Belgrade, I'm sassy
Not once, not twice, three times (kiss) me...
Belgrade, Belgrade three times, is how we do it Balkans, Balkans, Balkans, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on!
Hop, hop, hop, this is the Balkans, come on! Just a little, just a little, just a little, just a little
Just a little, just a little, just a little, just a little
Just a little, just a little to give him Love me like a young person, you are not ashamed
Belgrade, Belgrade, I'm sassy
Not once, not twice, three times (kiss) me...
Belgrade, Belgrade three times, is how we do it",Serbian,Ovo je Balkan,Pop,Serbian
2010,Bosnia and Herzegovina,Thunder and Lightning,"Say just one more word
And you will make it end
And I will leave this place
Only anger will remain
And it doesn't seem to me
We're each other's better side
These days

This is the time to melt the ice
Off our lips and off our hearts
Thunder and lightning holding hands
Let's overcome the past

The drought is all around
But if we start breathing together
We can bring the rain down
For a dream, for a brand new day
To wash away our sins
And carry them away

This is the time to melt the ice
Off our lips and off our hearts
Thunder and lightning holding hands
Let's overcome the past
We have to do it fast

This is the time (to melt the ice)
(Off our lips and off our hearts) Off our hearts
(Thunder and lightning holding hands)
Thunder and lightning
(Let's overcome the past)
(We have to do it fast)

In this crazy world
In this crazy world
Just you and I

Say just one more word
And everything will end, everyone will leave","Say just one more word
And you will make it end
And I will leave this place
Only anger will remain
And it doesn't seem to me
We're each other's better side
These days

This is the time to melt the ice
Off our lips and off our hearts
Thunder and lightning holding hands
Let's overcome the past

The drought is all around
But if we start breathing together
We can bring the rain down
For a dream, for a brand new day
To wash away our sins
And carry them away

This is the time to melt the ice
Off our lips and off our hearts
Thunder and lightning holding hands
Let's overcome the past
We have to do it fast

This is the time (to melt the ice)
(Off our lips and off our hearts) Off our hearts
(Thunder and lightning holding hands)
Thunder and lightning
(Let's overcome the past)
(We have to do it fast)

In this crazy world
In this crazy world
Just you and I

Say just one more word
And everything will end, everyone will leave",English,Thunder and Lightning,Rock,English
2010,Poland,Legenda,"Za lasem, za górą
Żył raz rycerz Pawie Pióro

Every day I think about tomorrow
Wanna see my princess much closer
I've decided never feeling sorrow
I will share my heart when I find her

I'll be forever, ever and ever
Feeling this love till the day when I die
Being together, even no matter
You didn't want me to be by your side

Z zamku porwał pannę
Pogoń dała skutki marne

Lovely princess, I am here to save you
Take my hand and say that you love me
If you ever say it, even lying
I will let you fly like a bird - free

I'll be forever, ever and ever
Feeling this love till the day when I die
Being together, even no matter
You didn't want me to be by your side

I'll be forever, ever and ever
Feeling this love till the day when I die
Being together, even no matter
You didn't want me to be by your side

(I'll be forever, ever and ever) I'll be forever...
(Feeling this love till the day when I die)
(Being together even no matter) Forever
(You didn't want me to be by your side) You didn't want me by...

(Morał z tego taki jest że)
(Nie spodobał się rycerz jej) Till the day I die...
(Nie spodobał się rycerz jej)","Over the forest, over the mountain
There once lived a knight called “Peacock Feather”
Every day I think about tomorrow
Wanna see my princess much closer
I’ve decided, never feeling sorrow
I will share my heart when I find her
I’ll be forever, ever and ever
Feeling this love till the day when I die
Being together, even no matter
You didn’t want me to be by your side
He kidnapped a girl from the castle
The chase after him was a failure
Lovely princess, I am here to save you
Take my hand and say that you love me
If you ever say it, even lying
I’ll let you fly like a bird – free
I’ll be forever, ever and ever
Feeling this love till the day when I die
Being together, even no matter
You didn’t want me to be by your side
I’ll be forever, ever and ever
Feeling this love till the day when I die
Being together, even no matter
You didn’t want me to be by your side
(I’ll be forever, ever and ever) I’ll be forever…
(Feeling this love till the day when I die)
(Being together, even no matter) No, no, no
(You didn’t want me to be by your side) You didn’t want me to be by…
(The moral of this is that)
(She didn’t like the knight)
Till the day I die…

(She didn’t like the knight)
",English/Polish,,,
2010,Belgium,Me and My Guitar,"[Verse 1]
People always say: ""Tom, this is going too far""
I'm not afraid to chase my dreams
Just me and my guitar

And no one may ever know
The feelings inside my mind
Cause all of the lines I ever write
Are running out of time
So maybe I should get a nine to five
But I don't wanna let it go
There's so much more to life

[Chorus]
Tell me, did I get it wrong?
Tell me everything will be okay
Before I fall
And tell me they'll play my songs
And tell me they'll sing the words I'll sing
When darkness falls
All of the stars will see
Just me and my guitar

[Verse 2]
I'm sure that I'll find my way
Cause I'm not afraid to try
But even a world of love and hope
Can't guarantee that prize

So maybe I can get that nine to five
And I don't wanna let it go
There's so much more to life (Nooo ooh)

[Chorus]
Tell me, did I get it wrong?
Tell me everything will be okay
And before I fall, no no
Tell me they'll play my songs
And tell me they'll sing the words I'll sing
When darkness falls
All of the stars will see
Just me and my guitar
Me and my guitar (oh oh)
Me and my guitar ( mhhm mhhm)","[Verse 1]
People always say: ""Tom, this is going too far""
I'm not afraid to chase my dreams
Just me and my guitar

And no one may ever know
The feelings inside my mind
Cause all of the lines I ever write
Are running out of time
So maybe I should get a nine to five
But I don't wanna let it go
There's so much more to life

[Chorus]
Tell me, did I get it wrong?
Tell me everything will be okay
Before I fall
And tell me they'll play my songs
And tell me they'll sing the words I'll sing
When darkness falls
All of the stars will see
Just me and my guitar

[Verse 2]
I'm sure that I'll find my way
Cause I'm not afraid to try
But even a world of love and hope
Can't guarantee that prize

So maybe I can get that nine to five
And I don't wanna let it go
There's so much more to life (Nooo ooh)

[Chorus]
Tell me, did I get it wrong?
Tell me everything will be okay
And before I fall, no no
Tell me they'll play my songs
And tell me they'll sing the words I'll sing
When darkness falls
All of the stars will see
Just me and my guitar
Me and my guitar (oh oh)
Me and my guitar ( mhhm mhhm)",English,Me and My Guitar,Pop,English
